study_name,study_year,study,group,design,age,percent_males,trained_state,homol_heterol,fatigued_muscle,fatgued_limb,rel_load,abs_load,tul,sets_tul,setsXtul,rel_loadXsetsXtul,reps,sets_reps,setsXreps,rel_loadXsetsXreps,max_effort,tested_muscle,test_upper_lower,outcome_measure,outcome_type,IF_E_>75s,time_post_test,first_post,post_only,control_cond,m_preCON,m_postCON,sd_preCON,sd_postCON,niCON,m_preFAT,m_postFAT,sd_preFAT,sd_postFAT,niFAT,Notes
"Morgan et al., (2019) - Placebo",2019,18,21,within,23.8,100,RA,homologous,Knee Extensors,left,80,,396,1,396,31680,,,,,Y,Knee Extensors,L,80% Peak Work Rate Dynamic Knee Extension to Task Failure (post only),E,Y,3,Y,Y,Y,,385,,104,14,,311,,92,14,Control condition SD is correct in text - confirmed by authors
"Morgan et al., (2019) - Acetaminophen",2019,18,21,within,23.8,100,RA,homologous,Knee Extensors,left,80,,396,1,396,31680,,,,,Y,Knee Extensors,L,80% Peak Work Rate Dynamic Knee Extension to Task Failure (post only),E,Y,3,Y,Y,Y,,385,,104,14,,324,,85,14,
"Pethick et al., (2019) ",2018,19,22,within,23.9,55,RA,homologous,Knee Extensors,left,50,,282,1,282,14100,,,,,Y,Knee Extensors,L,50% Baseline MVC Intermittent Isometric Knee Extension to Task Failure (post only),E,Y,60,Y,Y,Y,,282,,162,9,,228,,138,9,
"Pethick et al., (2019) ",2018,19,22,within,23.9,55,RA,homologous,Knee Extensors,left,51,,282,2,564,28764,,,,,Y,Knee Extensors,L,50% Baseline MVC Intermittent Isometric Knee Extension to Task Failure (post only),E,Y,60,Y,Y,Y,,282,,162,9,,234,,84,9,
"Pethick et al., (2019) - Occlusion",2018,19,22,within,23.9,55,RA,homologous,Knee Extensors,left,52,,282,3,846,43992,,,,,Y,Knee Extensors,L,MVC (isometric) - (post only),S,N,60,Y,Y,Y,,218.9,,72,9,,190.4,,68.8,9,
"Pethick et al., (2019) - Occlusion",2018,19,22,within,23.9,55,RA,homologous,Knee Extensors,left,53,,282,4,1128,59784,,,,,Y,Knee Extensors,L,MVC (isometric) - (post only),S,N,60,Y,Y,Y,,218.9,,72,9,,180.6,,57.5,9,
"Rattey et al., (2006)",2006,20,23,within ,21,46,RA,homologous,Knee Extensors,dominant,100,,100,1,100,10000,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,135,N,N,N,,,,,,365,350,89.96,95.25,28,Used mid point of time to complete all post fatigue measurements
"Regueme et al., (2007)",2007,21,24,within,22.5,100,RA,homologous,Leg (sledge ergometer),unspecified,70,,,,,,30,1,30,2100,Y,Plantar Flexors,L,MVC (isometric),S,N,0,Y,,,,,,,,999,1001,,,25,No variance reported 
"Regueme et al., (2007)",2007,21,24,within,22.5,100,RA,homologous,Leg (sledge ergometer),unspecified,70,,,,,,30,1,30,2100,Y,Plantar Flexors,L,MVC (isometric),S,N,172800,N,,,,,,,,999,942,,,25,
"Regueme et al., (2007)",2007,21,24,within,22.5,100,RA,homologous,Leg (sledge ergometer),unspecified,70,,,,,,30,1,30,2100,Y,Plantar Flexors,L,Drop Jump,P,N,0,Y,,,,,,,,38.5,37.7,,,25,
"Amann et al., (2013)",2013,22,25,within,24,100,RA,heterologous,Knee Extensors,randomised,85,,558,1,558,47430,,,,,Y,Handgrip,U,MVC (isometric),S,N,0,Y,N,N,,,,,,31,32,8.49,5.66,8,
"Amann et al., (2013)",2013,22,25,within,24,100,RA,homologous,Knee Extensors,randomised,85,,558,1,558,47430,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,120,N,N,Y,572.54,400.98,146.25,118.72,8,558.76,452.29,153.99,132.88,8,
"Amann et al., (2013)",2013,22,25,within,24,100,RA,homologous,Knee Extensors,randomised,85,,558,1,558,47430,,,,,Y,Knee Extensors,L,85% Peak Power Dynamic Knee Extension to Task Failure,E,Y,10,Y,Y,Y,,550.2,,70.2,8,,279.6,,97.8,8,
"Bogdanis et al., (1994)",1994,23,26,within,26,100,RA,heterologous,Arms (crank ergometer),bilateral,30,,300,1,300,9000,,,,,N,Leg,L,Peak Power in Cycle Ergometer Sprint - (only post),P,N,360,Y,Y,Y,,1177,,200.33,8,,1126,,189.63,8,
"Bogdanis et al., (1994)",1994,23,26,within,26,100,RA,heterologous,Arms (crank ergometer),bilateral,30,,300,1,300,9000,,,,,N,Leg,L,Peak Power in Cycle Ergometer Sprint - (only post),P,N,720,N,Y,Y,,1074,,153.06,8,,963,,88.26,8,
"Bogdanis et al., (1994)",1994,23,26,within,26,100,RA,heterologous,Arms (crank ergometer),bilateral,30,,300,1,300,9000,,,,,N,Leg,L,Mean Power in Cycle Ergometer Sprint - (only post),P,N,360,Y,Y,Y,,648,,81.94,8,,616,,66.18,8,
"Bogdanis et al., (1994)",1994,23,26,within,26,100,RA,heterologous,Arms (crank ergometer),bilateral,30,,300,1,300,9000,,,,,N,Leg,L,Mean Power in Cycle Ergometer Sprint - (only post),P,N,720,N,Y,Y,,549,,69.33,8,,517,,40.97,8,
"Bouhlel et al., (2010)",2010,24,27,within,20.6,100,T,heterologous,Arms (crank ergometer),bilateral,100,,7,7,49,4900,,,,,Y,Arm,U,Peak Power in Arm Crank Ergometer Sprint,P,N,480,Y,N,N,,,,,,0.68,0.72,0.14,0.13,10,
"Bouhlel et al., (2010)",2010,24,27,within,20.6,100,T,heterologous,Legs (cycle ergometer),bilateral,100,,7,7,49,4900,,,,,Y,Leg,L,Peak Power in Cycle Ergometer Sprint,P,N,480,Y,N,N,,,,,,1.18,1.13,0.29,0.26,10,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,1,8,640,,,,,N,Leg,L,Squat Ground Reaction Force,P,N,180,Y,N,Y,2570.49,2549.27,331.5,332.11,20,2479.48,2518.1,397.34,317.04,20,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,2,16,1280,,,,,N,Leg,L,Squat Ground Reaction Force,P,N,360,N,N,Y,2570.49,2542.72,331.5,321.54,20,2479.48,2539.83,397.34,316.07,20,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,3,24,1920,,,,,N,Leg,L,Squat Ground Reaction Force,P,N,540,N,N,Y,2570.49,2455.86,331.5,324.7,20,2479.48,2471.38,397.34,320,20,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,3,24,1920,,,,,N,Leg,L,Squat Ground Reaction Force (volume equated),P,N,540,N,N,Y,2570.49,2468.99,331.5,328.79,20,2479.48,2473.49,397.34,320.45,20,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,1,8,640,,,,,N,Leg,L,Squat Peak Power,P,N,180,Y,N,Y,2538.21,2429.05,558.56,510.98,20,2405.77,2324.19,587.86,463.66,20,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,2,16,1280,,,,,N,Leg,L,Squat Peak Power,P,N,360,N,N,Y,2538.21,2380.46,558.56,564.02,20,2405.77,2350.52,587.86,467.45,20,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,3,24,1920,,,,,N,Leg,L,Squat Peak Power,P,N,540,N,N,Y,2538.21,2044.06,558.56,537.09,20,2405.77,2106.49,587.86,470.42,20,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,3,24,1920,,,,,N,Leg,L,Squat Peak Power (volume equated),P,N,540,N,N,Y,2538.21,2110.84,558.56,574.25,20,2405.77,2119.91,587.86,150.03,20,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,1,8,640,,,,,N,Leg,L,Squat Average Power,P,N,180,Y,N,Y,1065.88,1020.43,199.03,173.97,20,1004.15,956.92,215.85,169.83,20,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,2,16,1280,,,,,N,Leg,L,Squat Average Power,P,N,360,N,N,Y,1065.88,975.48,199.03,181.42,20,1004.15,945.22,215.85,169.38,20,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,3,24,1920,,,,,N,Leg,L,Squat Average Power,P,N,540,N,N,Y,1065.88,857.6,199.03,154.81,20,1004.15,831.8,215.85,148.08,20,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,3,24,1920,,,,,N,Leg,L,Squat Average Power (volume equated),P,N,540,N,N,Y,1065.88,892.56,199.03,176.4,20,1004.15,840.24,215.85,150.03,20,
"Ciccone et al., (2014)",2014,25,28,within,24,100,T,heterologous,Arms (bench press and bench pull),bilateral,80,,8,3,24,1920,,,,,N,Leg,L,Squat Repetitions to Failure - (post only),E,Y,540,N,Y,Y,,7.5,,2.2,20,,6.5,,2.2,20,
"Decorte et al., (2012)",2012,26,29,within,29,100,T,heterologous,Legs (cycle ergometer),bilateral,81,,6.14,1,6.14,497.34,,,,,Y,Handgrip,U,MVC (isometric),S,N,30,Y,N,N,,,,,,105.41,99.99,,30.94,13,Times approximated based upon duration and number of bouts reported
"Decorte et al., (2012)",2012,26,29,within,29,100,T,heterologous,Legs (cycle ergometer),bilateral,81,,6.14,2,12.28,994.68,,,,,Y,Handgrip,U,MVC (isometric),S,N,30,Y,N,N,,,,,,105.41,96.4,,31.31,13,
"Decorte et al., (2012)",2012,26,29,within,29,100,T,heterologous,Legs (cycle ergometer),bilateral,81,,6.14,3,18.42,1492.02,,,,,Y,Handgrip,U,MVC (isometric),S,N,30,Y,N,N,,,,,,105.41,94.61,,33.55,13,
"Decorte et al., (2012)",2012,26,29,within,29,100,T,heterologous,Legs (cycle ergometer),bilateral,81,,6.14,4,24.56,1989.36,,,,,Y,Handgrip,U,MVC (isometric),S,N,30,Y,N,N,,,,,,105.41,88.42,,32.59,13,
"Decorte et al., (2012)",2012,26,29,within,29,100,T,heterologous,Legs (cycle ergometer),bilateral,81,,6.14,5,30.7,2486.7,,,,,Y,Handgrip,U,MVC (isometric),S,N,30,Y,N,N,,,,,,105.41,84.85,,28.76,13,
"Decorte et al., (2012)",2012,26,29,within,29,100,T,heterologous,Legs (cycle ergometer),bilateral,81,,6.14,5,30.7,2486.7,,,,,Y,Handgrip,U,MVC (isometric),S,N,3457.8,N,N,N,,,,,,105.41,88.43,,32.55,13,
"Grant et al, (2014)",2014,27,30,within,20.8,100,RA,heterologous,Elbow Flexors,bilateral,70,,,,,,10,4,30,2800,Y,Leg,L,Wingate Peak Power in Cycle Ergometer - (post only),P,N,0,Y,Y,Y,,980,,166.5,11,,929.9,,167.7,11,
"Grant et al, (2014)",2014,27,30,within,20.8,100,RA,heterologous,Elbow Flexors,bilateral,70,,,,,,10,4,30,2800,Y,Leg,L,Wingate Peak Power in Cycle Ergometer - (post only),P,N,360,N,Y,Y,,865.4,,168.1,11,,871.7,,122.69,11,
"Grant et al, (2014)",2014,27,30,within,20.8,100,RA,heterologous,Elbow Flexors,bilateral,70,,,,,,10,4,30,2800,Y,Leg,L,Wingate Mean Power in Cycle Ergometer - (post only),P,N,0,Y,Y,Y,,656,,84,11,,649.3,,86.6,11,
"Grant et al, (2014)",2014,27,30,within,20.8,100,RA,heterologous,Elbow Flexors,bilateral,70,,,,,,10,4,30,2800,Y,Leg,L,Wingate Mean Power in Cycle Ergometer - (post only),P,N,360,N,Y,Y,,589.2,,89.3,11,,576.4,,81.8,11,
"Grant et al, (2014)",2014,27,30,within,20.8,100,RA,heterologous,Elbow Flexors,bilateral,70,,,,,,10,4,30,2800,Y,Handgrip,U,MVC (isometric),S,N,60,Y,N,Y,45.25,47.34,7.14,6.33,11,39.53,42.49,4.92,5.25,11,
"Grant et al, (2014)",2014,27,30,within,20.8,100,RA,heterologous,Elbow Flexors,bilateral,70,,,,,,10,4,30,2800,Y,Handgrip,U,MVC (isometric),S,N,420,N,N,Y,45.25,48.48,7.14,7.07,11,39.53,44.11,4.92,7.47,11,
"Grant et al, (2014)",2014,27,30,within,20.8,100,RA,heterologous,Elbow Flexors,bilateral,70,,,,,,10,4,30,2800,Y,Handgrip,U,MVC (isometric),S,N,780,N,N,Y,45.25,47.61,7.14,8.01,11,39.53,41.01,4.92,7.47,11,
"Nordsberg et al., (2003)",2003,28,31,within,24,100,RA,heterologous,Arms (crank ergometer),bilateral,,140W,60,5,300,,,,,,N,Knee Extensors,L,62.8(3)W Knee Extension (Krogh Ergometer) to Task Failure (post only),E,Y,240,N,Y,Y,,4,,0.73,6,,2.7,,0.73,6,
"Ross et al., (2007)",2007,29,32,within,32,,T,heterologous,Legs (treadmill ergometer),bilateral,10,,12480,1,12480,124800,,,,,Y,Handgrip,U,MVC (isometric),S,N,1200,N,N,N,,,,,,49.7,47.8,6,5,9,Note - relative load of LT -5% determined from https://www.tandfonline.com/doi/abs/10.1080/17461391.2016.1249524?forwardService=showFullText&tokenAccess=vM4BYUrh49ZczuVdirPe&tokenDomain=eprints&doi=10.1080%2F17461391.2016.1249524&doi=10.1080%2F17461391.2016.1249524&journalCode=tejs20 
"Ross et al., (2007)",2007,29,32,within,32,,T,heterologous,Legs (treadmill ergometer),bilateral,10,,12480,1,12480,124800,,,,,Y,Handgrip,U,MVC (isometric),S,N,14400,N,N,N,,,,,,49.7,49.3,6,6,9,
"Ross et al., (2007)",2007,29,32,within,32,,T,heterologous,Legs (treadmill ergometer),bilateral,10,,12480,1,12480,124800,,,,,Y,Handgrip,U,MVC (isometric),S,N,86400,N,N,N,,,,,,49.7,50,6,6,9,
"Sambaher et al., (2016)",2016,30,33,within,24,100,RA,heterologous,Knee Extensors,bilateral,56,,15.2,5,76,4256,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,Y,358.6,366.9,46,50,14,375.8,352.8,59,64,14,Assumed bilateral force deficit from average reported in https://pubmed.ncbi.nlm.nih.gov/27582260/ for the relative load used in fatiguing protocol (i.e. highest MVC from unilateral KE) 
"Sambaher et al., (2016)",2016,30,33,within,24,100,RA,heterologous,Knee Extensors,bilateral,56,,15.2,5,76,4256,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,30,N,N,Y,358.6,347.2,46,49,14,375.8,327.6,59,53,14,
"Sambaher et al., (2016)",2016,30,33,within,24,100,RA,heterologous,Knee Extensors,bilateral,56,,15.2,5,76,4256,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,75,N,N,Y,358.6,323.7,46,30,14,375.8,304.3,59,49,14,
"Sambaher et al., (2016)",2016,30,33,within,24,100,RA,heterologous,Knee Extensors,bilateral,56,,15.2,5,76,4256,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,120,N,N,Y,358.6,309.8,46,33,14,375.8,288.8,59,45,14,
"Sambaher et al., (2016)",2016,30,33,within,24,100,RA,heterologous,Knee Extensors,bilateral,56,,15.2,5,76,4256,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,165,N,N,Y,358.6,300.6,46,40,14,375.8,275.2,59,49,14,
"Sdihu et al., (2014) - Control",2014,31,34,within,27,100,RA,heterologous,Legs (cycle ergometer),bilateral,80,,147,1,147,11760,,,,,N,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,N,,,,,,107.6,111.56,11.81,11.18,8,
"Sdihu et al., (2014) - Control",2014,31,34,within,27,100,RA,heterologous,Legs (cycle ergometer),bilateral,80,,294,1,294,23520,,,,,N,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,N,,,,,,107.6,115.61,11.81,13.23,8,
"Sdihu et al., (2014) - Control",2014,31,34,within,27,100,RA,heterologous,Legs (cycle ergometer),bilateral,80,,441,1,441,35280,,,,,N,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,N,,,,,,107.6,112.35,11.81,12.02,8,
"Sdihu et al., (2014) - Control",2014,31,34,within,27,100,RA,heterologous,Legs (cycle ergometer),bilateral,80,,588,1,588,47040,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,N,,,,,,107.6,108.66,11.81,10.15,8,
"Sdihu et al., (2014) - Control",2014,31,34,within,27,100,RA,heterologous,Legs (cycle ergometer),bilateral,80,,588,1,588,47040,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,26,Y,N,N,,,,,,107.6,102.81,11.81,10.42,8,
"Sdihu et al., (2014) - Fentanyl",2014,31,34,within,27,100,RA,heterologous,Legs (cycle ergometer),bilateral,80,,127.5,1,127.5,10200,,,,,N,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,N,,,,,,107.64,116.5,17.48,13.6,8,
"Sdihu et al., (2014) - Fentanyl",2014,31,34,within,27,100,RA,heterologous,Legs (cycle ergometer),bilateral,80,,255,1,255,20400,,,,,N,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,N,,,,,,107.64,116.73,17.48,13.23,8,
"Sdihu et al., (2014) - Fentanyl",2014,31,34,within,27,100,RA,heterologous,Legs (cycle ergometer),bilateral,80,,382.5,1,382.5,30600,,,,,N,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,N,,,,,,107.64,117.13,17.48,12.58,8,
"Sdihu et al., (2014) - Fentanyl",2014,31,34,within,27,100,RA,heterologous,Legs (cycle ergometer),bilateral,80,,510,1,510,40800,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,0,Y,N,N,,,,,,107.64,113.57,17.48,12.58,8,
"Sdihu et al., (2014) - Fentanyl",2014,31,34,within,27,100,RA,heterologous,Legs (cycle ergometer),bilateral,80,,510,1,510,40800,,,,,Y,Elbow Flexors,U,MVC (isometric),S,N,26,Y,N,N,,,,,,107.64,109.97,17.48,17.48,8,
"Bangsbo et al., (1996)",1996,32,35,within,25,100,RA,heterologous,Arms (crank ergometer),bilateral,,137W,510,1,510,,,,,,N,Leg,L,61.4(3.7 SEM)W Knee Extension (Krogh Ergometer) to Task Failure (post only) - Time,E,Y,300,Y,Y,Y,,4.67,,1.46,7,,3.46,,0.74,7,
"Bangsbo et al., (1996)",1996,32,35,within,25,100,RA,heterologous,Arms (crank ergometer),bilateral,,137W,510,1,510,,,,,,N,Leg,L,61.4(3.7 SEM)W Knee Extension (Krogh Ergometer) to Task Failure (post only) - Work,E,Y,300,Y,Y,Y,,17.4,,6.61,7,,12.6,,2.49,7,
"Bertuzzi et al., (2020)",2020,33,36,within,33.8,100,T,heterologous,Arms (crank ergometer),bilateral,,,,,,19057.14286,,,,,Y,Leg,L,Cycling 4km Time Trial,E,Y,240,N,Y,Y,,382,,28,8,,376,,27,8,Note- control and fatigue conditions reversed here for the TT outcome to ensure that the effect size sign is correct in showing decreased performance for FAT - As a progressive test to exhaustion was used for arm cranking the total fatigue protocol was worked out based on the number of minutes estimated from the peak W (i.e. 105/23) and then each 23W increment was worked out for each minute bout and the total summed
"Bertuzzi et al., (2020)",2020,33,36,within,33.8,100,T,heterologous,Arms (crank ergometer),bilateral,,,,,,19057.14286,,,,,Y,Leg,L,MVC (isometric),S,N,120,Y,N,Y,579.06,558.19,90.68,94.08,8,590.45,548.12,94.23,127.13,8,
"Greenhouse-Tucknott et al., (2020)",2020,34,37,within,25,100,RA,heterologous,Handgrip,bilateral,30,,15,11,165,4950,,,,,Y,Knee Extensors,L,200% Baseline MVC  Isometric Knee Extension to Task Failure (post only),E,Y,10,Y,Y,Y,,291.7,,121.1,20,,250.6,,91.9,20,Median used as estimate of mean and SD estimated as IQR/1.35
"Greenhouse-Tucknott et al., (2020)",2020,34,37,within,25,100,RA,heterologous,Handgrip,bilateral,30,,15,11,165,4950,,,,,Y,Knee Extensors,L,MVC (isometric),S,N,10,Y,N,Y,561.1,549.8,84.3,87.6,20,539.8,525.9,75.7,84.2,20,
"Johnson et al., (2014)",2014,35,38,within,26,100,T,heterologous,Arms (crank ergometer),bilateral,,1.5-2.0W/kg,60,8,480,,,,,,N,Leg,L,Cycling Maximal Incremental Test - post only,E,Y,240,Y,Y,Y,,17.9,,0.8,7,,16.6,,1,7,
"Johnson et al., (2014)",2014,35,38,within,26,100,T,heterologous,Arms (crank ergometer),bilateral,,1.5-2.0W/kg,60,8,480,,,,,,N,Leg,L,Cycling to Task Failure (average over range of constant power outputs +85% peak) - post only,E,Y,240,Y,Y,Y,,501,,197,7,,318,,132,7,
"Johnson et al., (2015)",2015,36,39,within,26,100,T,heterologous,Arms (crank ergometer),bilateral,,1.2(0.2)W/kg,60,8,480,,,,,,N,Leg,L,85% Peak Power Cycling to Task Failure,E,Y,360,N,Y,Y,,7.46,,2.79,8,,4.33,,1.1,8,
"Johnson et al., (2015)",2015,36,39,within,26,100,T,heterologous,Arms (crank ergometer),bilateral,,1.2(0.2)W/kg,60,8,480,,,,,,N,Leg,KE,MVC (isometric),S,N,180,Y,N,Y,615.8,599,75.4,76,8,601.8,597.5,83.8,77.5,8,
"Monteiro et al., (2019) - Men (rest)",2019,37,40,within,25.5,100,T,heterologous,Legs (leg press),bilateral,75,,22,1,22,1650,,,,,Y,Arm,U,~75% 1RM Repetitions to Failure - post only,E,N,0,Y,Y,Y,,11.25,,0.86,16,,9.19,,1.38,16,
"Monteiro et al., (2019) - Men (rest)",2019,37,40,within,25.5,100,T,heterologous,Legs (leg press),bilateral,75,,16,4,64,4800,,,,,Y,Arm,U,~75% 1RM Repetitions to Failure - post only,E,N,112,N,Y,Y,,6.06,,1.57,16,,6.13,,1.09,16,
"Monteiro et al., (2019) - Men (rest)",2019,37,40,within,25.5,100,T,heterologous,Arms (bench press),bilateral,75,,22,1,22,1650,,,,,Y,Leg,L,~75% 1RM Repetitions to Failure - post only,E,N,0,Y,Y,Y,,11.13,,0.89,16,,10.06,,1.39,16,
"Monteiro et al., (2019) - Men (rest)",2019,37,40,within,25.5,100,T,heterologous,Arms (bench press),bilateral,75,,16,4,64,4800,,,,,Y,Leg,L,~75% 1RM Repetitions to Failure - post only,E,N,112,N,Y,Y,,6,,1.26,16,,6.44,,1.03,16,
"Monteiro et al., (2019) - Men (no rest)",2019,37,40,within,25.5,100,T,heterologous,Legs (leg press),bilateral,75,,20,1,20,1500,,,,,Y,Arm,U,~75% 1RM Repetitions to Failure - post only,E,N,0,Y,Y,Y,,9.88,,0.62,16,,10,,0.63,16,
"Monteiro et al., (2019) - Men (no rest)",2019,37,40,within,25.5,100,T,heterologous,Legs (leg press),bilateral,75,,16,4,64,4800,,,,,Y,Arm,U,~75% 1RM Repetitions to Failure - post only,E,N,1192,N,Y,Y,,4.5,,1.03,16,,3.19,,0.83,16,
"Monteiro et al., (2019) - Men (no rest)",2019,37,40,within,25.5,100,T,heterologous,Arms (bench press),bilateral,75,,20,1,20,1500,,,,,Y,Leg,L,~75% 1RM Repetitions to Failure - post only,E,N,0,Y,Y,Y,,10.19,,0.75,16,,9.81,,0.75,16,
"Monteiro et al., (2019) - Men (no rest)",2019,37,40,within,25.5,100,T,heterologous,Arms (bench press),bilateral,75,,16,4,64,4800,,,,,Y,Leg,L,~75% 1RM Repetitions to Failure - post only,E,N,1192,N,Y,Y,,4,,0.89,16,,4.44,,0.73,16,
"Monteiro et al., (2019) - Women (rest)",2019,37,41,within,24.6,0,T,heterologous,Legs (leg press),bilateral,75,,20,1,20,1500,,,,,Y,Arm,U,~75% 1RM Repetitions to Failure - post only,E,N,0,Y,Y,Y,,10.25,,1.42,12,,9.33,,0.78,12,
"Monteiro et al., (2019) - Women (rest)",2019,37,41,within,24.6,0,T,heterologous,Legs (leg press),bilateral,75,,16,4,64,4800,,,,,Y,Arm,U,~75% 1RM Repetitions to Failure - post only,E,N,112,N,Y,Y,,4.08,,0.79,12,,3.5,,1.09,12,
"Monteiro et al., (2019) - Women (rest)",2019,37,41,within,24.6,0,T,heterologous,Arms (bench press),bilateral,75,,20,1,20,1500,,,,,Y,Leg,L,~75% 1RM Repetitions to Failure - post only,E,N,0,Y,Y,Y,,10.5,,0.67,12,,9.92,,0.9,12,
"Monteiro et al., (2019) - Women (rest)",2019,37,41,within,24.6,0,T,heterologous,Arms (bench press),bilateral,75,,16,4,64,4800,,,,,Y,Leg,L,~75% 1RM Repetitions to Failure - post only,E,N,112,N,Y,Y,,4.92,,1.08,12,,3.5,,0.9,12,
"Monteiro et al., (2019) - Women (no rest)",2019,37,41,within,24.6,0,T,heterologous,Legs (leg press),bilateral,75,,20,1,20,1500,,,,,Y,Arm,U,~75% 1RM Repetitions to Failure - post only,E,N,0,Y,Y,Y,,9.92,,0.67,12,,9.75,,0.62,12,Assumed ~1:1 rep durations - Relative load estimated vased on 10RM from https://www.nsca.com/contentassets/61d813865e264c6e852cadfe247eae52/nsca_training_load_chart.pdf
"Monteiro et al., (2019) - Women (no rest)",2019,37,41,within,24.6,0,T,heterologous,Legs (leg press),bilateral,75,,16,4,64,4800,,,,,Y,Arm,U,~75% 1RM Repetitions to Failure - post only,E,N,1192,N,Y,Y,,3.83,,0.72,12,,2.83,,0.72,12,Also assumed that average reps per set was ~8 and so for the 4th set the fatigue protocol is based upon having completed 4 sets of 8 reps at 1:1
"Monteiro et al., (2019) - Women (no rest)",2019,37,41,within,24.6,0,T,heterologous,Arms (bench press),bilateral,75,,20,1,20,1500,,,,,Y,Leg,L,~75% 1RM Repetitions to Failure - post only,E,N,0,Y,Y,Y,,9.75,,0.62,12,,9.92,,0.67,12,
"Monteiro et al., (2019) - Women (no rest)",2019,37,41,within,24.6,0,T,heterologous,Arms (bench press),bilateral,75,,16,4,64,4800,,,,,Y,Leg,L,~75% 1RM Repetitions to Failure - post only,E,N,1192,N,Y,Y,,4.5,,0.8,12,,2.67,,0.89,12,
